edge_id,length_m,speed_kmh,lanes,capacity_veh_hr,freeflow_min,is_highway,betweenness,avg_degree,mid_lat,mid_lon
117,104.3150635946365,40.0,2,2000,0.15647259539195474,0,0.0,1.0,33.98204944517437,-118.29096347446651
118,79.34530682232383,40.0,2,2000,0.11901796023348576,0,0.0,1.0,33.98191284068535,-118.28748383792613
119,85.20339237820446,40.0,2,2000,0.12780508856730668,0,0.0,1.0,33.98204806037716,-118.28747788421414
120,232.01565784737124,40.0,2,2000,0.3480234867710568,0,0.0,1.0,33.98190521822243,-118.2891675939245
121,32.90656337713753,40.0,2,2000,0.049359845065706294,0,0.0,1.0,33.98205442791642,-118.29150288827458
122,769.6571134735246,40.0,2,2000,1.1544856702102868,0,0.0,1.0,33.9856717770143,-118.29149574880435
123,104.31506359463648,40.0,2,2000,0.1564725953919547,0,0.0,1.0,33.98204944517437,-118.29096347446651
124,812.1499147351177,40.0,2,2000,1.2182248721026765,0,0.0,1.0,33.982335956752,-118.29586822730617
125,804.005389762579,40.0,2,2000,1.2060080846438685,0,0.0,1.0,33.97826781969919,-118.28707230916355
126,33.32390065583135,40.0,2,2000,0.04998585098374703,0,0.0,1.0,33.98204219437689,-118.28705279250063
127,73.86574118938192,40.0,2,2000,0.11079861178407288,0,0.0,1.0,33.982303214189415,-118.28667574680928
128,85.20339237820446,40.0,2,2000,0.12780508856730668,0,0.0,1.0,33.98204806037716,-118.28747788421414
129,33.32390065583135,40.0,2,2000,0.04998585098374703,0,0.0,1.0,33.98204219437689,-118.28705279250063
130,33.96896536972551,40.0,2,2000,0.05095344805458826,0,0.0,1.0,33.982345504534834,-118.28705382899274
131,37.48367076228527,40.0,2,2000,0.05622550614342791,0,0.0,1.0,34.045160900016185,-118.28419954997618
132,216.3661012336159,40.0,2,2000,0.3245491518504238,0,0.0,1.0,34.046304422262324,-118.28423800396838
133,37.48367076228527,40.0,2,2000,0.05622550614342791,0,0.0,1.0,34.045160900016185,-118.28419954997618
134,67.87323397357373,40.0,2,2000,0.10180985096036059,0,0.0,1.0,34.04523594789641,-118.28397908095393
135,134.97881248508642,40.0,2,2000,0.20246821872762963,0,0.0,1.0,34.04438467621373,-118.28415198523773
136,457.10988781307714,40.0,2,2000,0.6856648317196157,0,0.0,1.0,34.04727396691521,-118.2867019702527
137,142.38808832299696,40.0,2,2000,0.21358213248449545,0,0.0,1.0,34.04727946975134,-118.28345581527684
138,216.36610123361595,40.0,2,2000,0.3245491518504239,0,0.0,1.0,34.046304422262324,-118.28423800396838
139,502.45704879100066,40.0,2,2000,0.7536855731865009,0,0.0,1.0,34.049540151318936,-118.28417934143657
140,167.71326038283914,40.0,2,2000,0.2515698905742587,0,0.0,1.0,34.03816979765126,-118.28491760120463
141,153.22255807781838,40.0,2,2000,0.22983383711672756,0,0.0,1.0,34.03880518197756,-118.28405342470333
142,175.57641408563424,40.0,2,2000,0.2633646211284514,0,0.0,1.0,34.037323865467236,-118.2840111997063
143,167.71326038283917,40.0,2,2000,0.25156989057425877,0,0.0,1.0,34.03816979765126,-118.28491760120463
144,326.7145418578793,40.0,2,2000,0.49007181278681894,0,0.0,1.0,34.038165696818986,-118.28759405867191
145,43.78758157014036,40.0,2,2000,0.06568137235521053,0,0.0,1.0,34.03960665238944,-118.28389303188119
146,39.66955648901135,40.0,2,2000,0.05950433473351702,0,0.0,1.0,34.039674045468125,-118.28408738014012
147,153.22255807781835,40.0,2,2000,0.2298338371167275,0,0.0,1.0,34.03880518197756,-118.28405342470333
148,305.06056222882995,40.0,2,2000,0.4575908433432449,0,0.0,1.0,34.037164253889834,-118.28259956892664
149,151.89303914037606,40.0,2,2000,0.22783955871056408,0,0.0,1.0,34.03584804470616,-118.28400034616978
150,175.57641408563424,40.0,2,2000,0.2633646211284514,0,0.0,1.0,34.037323865467236,-118.2840111997063
151,326.71454185787934,40.0,2,2000,0.49007181278681905,0,0.0,1.0,34.038165696818986,-118.28759405867191
152,36.25531033376142,40.0,2,2000,0.05438296550064213,0,0.0,1.0,34.06288770010381,-118.21105165020096
153,381.34882449546615,40.0,2,2000,0.5720232367431992,0,0.0,1.0,34.06171030964224,-118.21281560730077
154,363.8895210934986,40.0,2,2000,0.5458342816402478,0,0.0,1.0,34.064387400341325,-118.21149151679191
155,36.25531033376142,40.0,2,2000,0.05438296550064213,0,0.0,1.0,34.06288770010381,-118.21105165020096
156,347.9700680616767,40.0,2,2000,0.521955102092515,0,0.0,1.0,34.06384726857698,-118.2093406629042
157,48.63859126741244,40.0,2,2000,0.07295788690111865,0,0.0,1.0,34.06314165614599,-118.21070776614916
158,448.56600117217454,40.0,2,2000,0.6728490017582618,0,0.0,1.0,34.06252232434218,-118.2151117542569
159,220.53134769833704,40.0,2,2000,0.33079702154750557,0,0.0,1.0,34.05984414813678,-118.2137006739465
160,381.3488244954661,40.0,2,2000,0.5720232367431991,0,0.0,1.0,34.06171030964224,-118.21281560730077
161,121.99954325782119,40.0,2,2000,0.1829993148867318,0,0.0,1.0,34.06023811409143,-118.21488374147704
162,242.66909707718293,40.0,2,2000,0.3640036456157744,0,0.0,1.0,34.066037560619534,-118.21024725030013
163,359.2358045193749,40.0,2,2000,0.5388537067790623,0,0.0,1.0,34.06600247638524,-118.21350729947413
164,363.8895210934986,40.0,2,2000,0.5458342816402478,0,0.0,1.0,34.064387400341325,-118.21149151679191
165,172.92104043373902,40.0,2,2000,0.2593815606506085,0,0.0,1.0,34.06680255559907,-118.21158550612358
166,51.61007648871307,40.0,2,2000,0.0774151147330696,0,0.0,1.0,34.05961824757379,-118.21528401290199
167,1153.0824345240696,40.0,2,2000,1.7296236517861043,0,0.0,1.0,34.05680513965612,-118.22031923275847
168,121.99954325782119,40.0,2,2000,0.1829993148867318,0,0.0,1.0,34.06023811409143,-118.21488374147704
169,428.67676939477843,40.0,2,2000,0.6430151540921677,0,0.0,1.0,34.057536222487336,-118.21464212231282
