edge_id,length_m,speed_kmh,lanes,capacity_veh_hr,freeflow_min,is_highway,betweenness,avg_degree,svi_score,vulnerability,population,in_evac_zone,zone_tier,demand_V,vc_ratio,bpr_multiplier,pems_multiplier,congestion_multiplier,congested_time_min,label_source,pems_speed_event,pems_speed_baseline,pems_n_samples
79,395.5344763147422,40.0,2,2000,0.5933017144721133,0,0.0,1.0,0.49642640245910635,0.49642640245910635,4319.46679108574,0,0.0,1399.9999986942107,0.6999999993471053,1.0360149998656343,,1.0360149998656343,0.6146694756391071,bpr,,,
80,1605.012983394406,40.0,2,2000,2.407519475091609,0,0.0,1.0,0.49642640245910635,0.49642640245910635,4319.46679108574,0,0.0,1399.9999986942107,0.6999999993471053,1.0360149998656343,,1.0360149998656343,2.494226288663545,bpr,,,
81,106.20635067103474,40.0,2,2000,0.15930952600655213,0,0.0,1.0,0.49642640245910635,0.49642640245910635,4319.46679108574,0,0.0,1399.9999986942107,0.6999999993471053,1.0360149998656343,,1.0360149998656343,0.16504705856427238,bpr,,,
82,111.62509457965666,40.0,2,2000,0.167437641869485,0,0.0,1.0,0.49642640245910635,0.49642640245910635,4319.46679108574,0,0.0,1399.9999986942107,0.6999999993471053,1.0360149998656343,,1.0360149998656343,0.17346790851891664,bpr,,,
83,460.4021333745573,40.0,2,2000,0.690603200061836,0,0.0,1.0,0.49642640245910635,0.49642640245910635,4319.46679108574,0,0.0,1399.9999986942107,0.6999999993471053,1.0360149998656343,,1.0360149998656343,0.7154752742192696,bpr,,,
84,182.13874049795837,40.0,2,2000,0.2732081107469375,0,0.0,1.0,0.49642640245910635,0.49642640245910635,4319.46679108574,0,0.0,1399.9999986942107,0.6999999993471053,1.0360149998656343,,1.0360149998656343,0.28304770081877867,bpr,,,
85,252.6793347164166,40.0,2,2000,0.3790190020746249,0,0.0,1.0,0.49642640245910635,0.49642640245910635,4319.46679108574,0,0.0,1399.9999986942107,0.6999999993471053,1.0360149998656343,,1.0360149998656343,0.39266937138341534,bpr,,,
86,258.0792537871765,40.0,2,2000,0.3871188806807647,0,0.0,1.0,0.49642640245910635,0.49642640245910635,4319.46679108574,0,0.0,1399.9999986942107,0.6999999993471053,1.0360149998656343,,1.0360149998656343,0.40106096711646694,bpr,,,
87,190.25685002072217,40.0,2,2000,0.28538527503108324,0,0.0,1.0,0.49642640245910635,0.49642640245910635,4319.46679108574,0,0.0,1399.9999986942107,0.6999999993471053,1.0360149998656343,,1.0360149998656343,0.2956634256729817,bpr,,,
88,52.55585870645954,40.0,2,2000,0.07883378805968931,0,0.0,1.0,0.49642640245910635,0.49642640245910635,4319.46679108574,0,0.0,1399.9999986942107,0.6999999993471053,1.0360149998656343,,1.0360149998656343,0.08167298692606646,bpr,,,
89,430.7277430792012,40.0,2,2000,0.6460916146188018,0,0.0,1.0,0.49642640245910635,0.49642640245910635,4319.46679108574,0,0.0,1399.9999986942107,0.6999999993471053,1.0360149998656343,,1.0360149998656343,0.6693606040324854,bpr,,,
90,393.45015600360597,40.0,2,2000,0.5901752340054088,0,0.0,1.0,0.49642640245910635,0.49642640245910635,4319.46679108574,0,0.0,1399.9999986942107,0.6999999993471053,1.0360149998656343,,1.0360149998656343,0.6114303949788144,bpr,,,
91,51.45721533477367,40.0,2,2000,0.07718582300216051,0,0.0,1.0,0.49642640245910635,0.49642640245910635,4319.46679108574,0,0.0,1399.9999986942107,0.6999999993471053,1.0360149998656343,,1.0360149998656343,0.0799656704072122,bpr,,,
92,104.20393859665387,40.0,2,2000,0.1563059078949808,0,0.0,1.0,0.49642640245910635,0.49642640245910635,4319.46679108574,0,0.0,1399.9999986942107,0.6999999993471053,1.0360149998656343,,1.0360149998656343,0.1619352651468164,bpr,,,
93,40.53662406693251,40.0,2,2000,0.06080493610039876,0,0.0,1.0,0.49642640245910635,0.49642640245910635,4319.46679108574,0,0.0,1399.9999986942107,0.6999999993471053,1.0360149998656343,,1.0360149998656343,0.06299482586588452,bpr,,,
94,185.96551005427438,40.0,2,2000,0.2789482650814115,0,0.0,1.0,0.49642640245910635,0.49642640245910635,4319.46679108574,0,0.0,1399.9999986942107,0.6999999993471053,1.0360149998656343,,1.0360149998656343,0.28899458681083745,bpr,,,
95,402.1704293526607,40.0,2,2000,0.603255644028991,0,0.0,1.0,0.49642640245910635,0.49642640245910635,4319.46679108574,0,0.0,1399.9999986942107,0.6999999993471053,1.0360149998656343,,1.0360149998656343,0.6249818959676382,bpr,,,
96,90.86309564959771,40.0,2,2000,0.13629464347439657,0,0.0,1.0,0.49642640245910635,0.49642640245910635,4319.46679108574,0,0.0,1399.9999986942107,0.6999999993471053,1.0360149998656343,,1.0360149998656343,0.14120329504081364,bpr,,,
97,115.5096572557461,40.0,2,2000,0.17326448588361915,0,0.0,1.0,0.49642640245910635,0.49642640245910635,4319.46679108574,0,0.0,1399.9999986942107,0.6999999993471053,1.0360149998656343,,1.0360149998656343,0.17950460631943688,bpr,,,
98,312.9756125044872,40.0,2,2000,0.4694634187567308,0,0.0,1.0,0.49642640245910635,0.49642640245910635,4319.46679108574,0,0.0,1399.9999986942107,0.6999999993471053,1.0360149998656343,,1.0360149998656343,0.4863711437201747,bpr,,,
99,48.54537623718967,40.0,2,2000,0.0728180643557845,0,0.0,1.0,0.49642640245910635,0.49642640245910635,4319.46679108574,0,0.0,1399.9999986942107,0.6999999993471053,1.0360149998656343,,1.0360149998656343,0.07544060693377383,bpr,,,
100,739.7630741741951,40.0,2,2000,1.1096446112612928,0,0.0,1.0,0.49642640245910635,0.49642640245910635,4319.46679108574,0,0.0,1399.9999986942107,0.6999999993471053,1.0360149998656343,,1.0360149998656343,1.1496084617867701,bpr,,,
101,175.14989136838147,40.0,2,2000,0.2627248370525722,0,0.0,1.0,0.49642640245910635,0.49642640245910635,4319.46679108574,0,0.0,1399.9999986942107,0.6999999993471053,1.0360149998656343,,1.0360149998656343,0.2721868720237194,bpr,,,
102,510.8038546316037,40.0,2,2000,0.7662057819474055,0,0.0,1.0,0.49642640245910635,0.49642640245910635,4319.46679108574,0,0.0,1399.9999986942107,0.6999999993471053,1.0360149998656343,,1.0360149998656343,0.7938006830812895,bpr,,,
103,54.60023867360412,40.0,2,2000,0.08190035801040618,0,0.0,1.0,0.49642640245910635,0.49642640245910635,4319.46679108574,0,0.0,1399.9999986942107,0.6999999993471053,1.0360149998656343,,1.0360149998656343,0.08484999939314636,bpr,,,
104,47.837407013045926,40.0,2,2000,0.07175611051956889,0,0.0,1.0,0.49642640245910635,0.49642640245910635,4319.46679108574,0,0.0,1399.9999986942107,0.6999999993471053,1.0360149998656343,,1.0360149998656343,0.0743404068302896,bpr,,,
105,604.7840927167015,40.0,2,2000,0.9071761390750523,0,0.0,1.0,0.49642640245910635,0.49642640245910635,4319.46679108574,0,0.0,1399.9999986942107,0.6999999993471053,1.0360149998656343,,1.0360149998656343,0.9398480876019469,bpr,,,
